[08/Jul/2020 19:02:52] INFO [django.utils.autoreload:598] Watching for file changes with StatReloader
[08/Jul/2020 19:02:52] DEBUG [django.utils.autoreload:286] Waiting for apps ready_event.
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:297] Apps ready_event triggered. Sending autoreload_started signal.
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:252] Watching dir D:\javascipt\atom\MarksWebScraping\locale with glob **/*.mo.
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:252] Watching dir D:\Anaconda3\envs\marksScraping\lib\site-packages\django\contrib\admin\locale with glob **/*.mo.
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:252] Watching dir D:\Anaconda3\envs\marksScraping\lib\site-packages\django\contrib\auth\locale with glob **/*.mo.
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:252] Watching dir D:\Anaconda3\envs\marksScraping\lib\site-packages\django\contrib\contenttypes\locale with glob **/*.mo.
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:252] Watching dir D:\Anaconda3\envs\marksScraping\lib\site-packages\django\contrib\sessions\locale with glob **/*.mo.
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:252] Watching dir D:\Anaconda3\envs\marksScraping\lib\site-packages\django\contrib\messages\locale with glob **/*.mo.
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:252] Watching dir D:\Anaconda3\envs\marksScraping\lib\site-packages\django\contrib\staticfiles\locale with glob **/*.mo.
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:252] Watching dir D:\javascipt\atom\MarksWebScraping\mainApp\locale with glob **/*.mo.
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\javascipt\atom\MarksWebScraping\mainApp\SplitString.py first seen with mtime 1593035648.5501845
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\multiprocessing\process.py first seen with mtime 1589391114.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\DLLs\_ctypes.pyd first seen with mtime 1589896262.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\forms\forms.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\DLLs\select.pyd first seen with mtime 1589896258.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\urllib3\util\request.py first seen with mtime 1587056591.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\urllib3\exceptions.py first seen with mtime 1587056591.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\utils\log.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1591280328.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\selenium\webdriver\chrome\remote_connection.py first seen with mtime 1584314758.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\utils\version.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\javascipt\atom\MarksWebScraping\manage.py first seen with mtime 1577824938.286613
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1591280329.0
[08/Jul/2020 19:03:00] DEBUG [django.utils.autoreload:349] File D:\Anaconda3\envs\marksScraping\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1591280329.0
